category,project,InducingDate,BugFixing,FixingDates,InducingMessage
Assembly,lanl/qmasm,2ea71fdf594cb08afd01e28106602f0716eb4f84,2020-05-27T19:42:26Z,83fc0e638df9ab2e3cefa74818b9a2b94fd01c13/0a5cf17c6b9408f81f8f746787a136d098a36d7c/,2020-05-29 18:02:35-06:00/2020-05-27 13:49:13-06:00/,"Filter out isolated variables before embedding the problem

This prevents embed_bqm from complaining."
Assembly,lanl/qmasm,7c47d361e47db07a8ee78654c4e130faebce4fd3,2017-02-01T15:50:39Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/c7fec3f434ae8d3a09774b4a5b3811492630ebc6/,2020-06-03 14:20:44-06:00/2017-05-04 14:04:13-06:00/,Better error message for remote connections in the faked D-Wave library
Assembly,lanl/qmasm,a479826aafca66ffd7ce86b1105819d163cf4b4b,2019-12-19T00:57:17Z,4778293e11d6bc22f45d96a1f72a26ee84f1e87e/1aab3fcc08876951d46404b1ae052986fbe6940d/39eb40836f255d18a205c69c3ef5b5dc40d8e998/d2da5ce215b0a1e3b9e1a988001c5086db89ffcc/a30eeba8024a7c0663f1b6364aea5786a144955a/e6aa93edc0a2ce44a3036ef595b2567aa840c38f/,2020-06-30 18:51:09-06:00/2019-12-23 15:02:03-07:00/2020-06-09 18:25:05-06:00/2020-01-07 15:09:27-07:00/2019-12-23 14:49:10-07:00/2019-12-19 17:16:44-07:00/,Define a Problem class and populate a corresponding object
Assembly,lanl/qmasm,c0d5deb7b625809b8b8310e63b4f0f3354a21460,2019-02-09T07:13:09Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/7cdbf54d1f358d1023a4505dd1b1bbbea1259c20/,2020-06-03 14:20:44-06:00/2019-02-09 00:27:26-07:00/,"Allow logical negation of relational expressions

Previously, logical negation applied only to arithmetic expressions."
Assembly,lanl/qmasm,20a5b56ca0649e34e1297c13ed07780cd38f9d3a,2018-04-23T07:11:16Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: No Python error if the D-Wave libraries are unavailable
Assembly,lanl/qmasm,ad1a7c1407abe895364252ee3b89cba5a794e6d9,2020-05-26T23:39:58Z,6c8ea845a0f40320e003b8ea85117eb5c6410192/69505d0911f3c949d60a26dfac2651a755566853/34996cb3bfec9dec0414dce973d820c60af5eb64/fad3b9795f1ea9ce99d374d9857eaf70880306ff/,2020-05-26 17:45:22-06:00/2020-05-27 15:02:13-06:00/2020-05-29 14:54:52-06:00/2020-05-28 13:55:00-06:00/,Elide broken user-defined chains and antichains
Assembly,lanl/qmasm,03e4cd19cc670522ff8c84ec5a9e391ccd592c52,2019-12-18T21:40:55Z,c7bb1ff5d845afca56f7799ec93aa409b20c8a8a/4778293e11d6bc22f45d96a1f72a26ee84f1e87e/f39d080db8ce9bc64646989942da8c0565d0efa8/cbda313b0e3fff71e351f418d9a263968bab3776/d2da5ce215b0a1e3b9e1a988001c5086db89ffcc/729dafcd6564d4a4ee2ca74dba06690186e533a4/a479826aafca66ffd7ce86b1105819d163cf4b4b/ddb51ec6e9882dd0c7ca4a4df493c16d25260cc3/b1406fae023c9c9938a6946055730aefce092248/,2020-06-09 17:54:21-06:00/2020-06-30 18:51:09-06:00/2019-12-18 16:57:03-07:00/2020-06-09 18:21:04-06:00/2020-01-07 15:09:27-07:00/2020-06-09 15:35:41-06:00/2019-12-18 17:57:17-07:00/2019-12-18 16:43:51-07:00/2020-05-27 17:15:44-06:00/,Begin adding code for parsing the input file
Assembly,lanl/qmasm,5db92a0f1a855ca3bdbea945107d7c59f901a82e,2017-08-21T19:40:37Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: Correct the handling of spin reversals divided across multiple QMIs
Assembly,lanl/qmasm,d97cd459bd1a9439971650c6dd7138b56bb288e6,2017-05-31T05:34:55Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/41f5348bb1c9782f334906026f4af48d7574779d/,2020-06-03 14:20:44-06:00/2017-05-31 00:19:08-06:00/,Adjust MiniZinc's energy output to include the offset from QUBO conversion
Assembly,lanl/qmasm,e4b54f8d91e9324b575ac008a7e519e45a64d8cd,2017-05-04T04:58:13Z,ade1e25b4315125ddaaf5a47d7a93b76bc41558a/329466fdac7d173e95c57130703a9f3a36d20d2d/bb9fa86838726ff018c541884988c96b2dfe6892/e55bc405a3f90b35c5a44b5ae945686a04f2f866/398236e7ba67893dc1eb2bdc0750057f3ea11e24/3df14bc70e791f86aea778a54d1c9893ec51c5ec/,2017-05-04 00:20:43-06:00/2017-05-04 11:32:01-06:00/2017-05-29 23:12:55-06:00/2020-06-03 14:20:44-06:00/2017-05-03 23:58:49-06:00/2017-05-04 16:14:29-06:00/,Allow --run to be used with --format=qbsolv
Assembly,lanl/qmasm,9484eba4e0e57ee9f115a025b560618ec5ffd3e0,2018-05-26T04:45:25Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: Don't alias variables in anti-chains but do update all anti-chains
Assembly,lanl/qmasm,91107817b0042cf52e300e122c43e27ce3c789fb,2018-03-14T23:01:05Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Abort on attempts to alias two pre-existing symbols
Assembly,lanl/qmasm,3b26335df7b3e5e53798adcbd6b3b5ff149330cd,2019-01-13T01:52:35Z,71a0406842266177ee0b5de9f091f00ce488bbf4/ebf6d801342478bfe6073de3db2ff998b9e860f2/e55bc405a3f90b35c5a44b5ae945686a04f2f866/882f6e819325488735a4f698d0b1c2b133bb867f/,2019-01-20 12:56:07-07:00/2019-01-20 19:06:49-07:00/2020-06-03 14:20:44-06:00/2019-01-28 00:17:04-07:00/,Import the LoopIterator class from a prior attempt
Assembly,lanl/qmasm,2734d812148a4fae11b913f9972880630fcb8233,2018-02-26T01:05:22Z,af27f78726e6dc160a4610928824b4a3538db47a/,2019-02-19 19:50:34-07:00/,Explicitly reject negative powers in !assert directives
Assembly,lanl/qmasm,70691a80494d60ba098b9f20c0a4ae1bf8999af9,2020-05-20T00:38:59Z,2ea71fdf594cb08afd01e28106602f0716eb4f84/45f14cb65409147ff739d2c7fa7950fe23341eb2/6125bf648f2dc68da2b3a88407d4e848d76b5ad4/8316b1ded244f2c75061bb65d0ec880dbda14ba1/,2020-05-27 13:42:26-06:00/2020-06-02 16:37:34-06:00/2020-07-30 15:17:06-06:00/2020-07-06 17:13:03-06:00/,"Add support for --always-embed to choose when output files are written

This revision also corrects a subtle bug: dwave.embedding.embed_bqm
takes a positive value for chain_strength, but we were passing it a
negative value."
Assembly,lanl/qmasm,422997299ffe0432cf5b051286dd9849c9f2085a,2016-08-19T17:34:14Z,b7e7a707b84a72ec622b7fd6c58a5d9237beef8a/cd49d2469e7dc74af47fe890e10f0860ece672c5/,2016-10-26 16:56:24-06:00/2016-11-02 20:34:01-04:00/,"Output the *pre-embedded* problem in qbsolv format

qbsolv has the ability to partition and embed problems itself.  Trying
to embed an oversized problem would fail before qbsolv would be given
the chance to partition it."
Assembly,lanl/qmasm,2c197a875543b4d535c80faf3bfc6e81366ad1dd,2020-05-26T22:04:15Z,fad3b9795f1ea9ce99d374d9857eaf70880306ff/,2020-05-28 13:55:00-06:00/,Report chain-break frequencies
Assembly,lanl/qmasm,04bbcc3d7b20281a037ae88d5b574352dcf300f6,2016-11-05T00:18:05Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,:bug: Mark the output of convert_to_qubo as a QUBO
Assembly,lanl/qmasm,ff67aecb804dc89e747cd9d8f4e99402f71c1927,2017-05-04T20:01:40Z,d625b3210069540d287448384c66a20f8b1909d2/dc9870a046f8fcb701377951dc2c2dce9cdee31a/e1811a181eab7f46f498a0bc735a5e756da8e4c1/d3045915257228114374e0e996ac4b55196a9472/751e5e7d116c243391b3f02b2f717c63d59051be/bb9fa86838726ff018c541884988c96b2dfe6892/3df14bc70e791f86aea778a54d1c9893ec51c5ec/,2017-05-28 00:34:09-06:00/2017-05-31 14:53:49-06:00/2017-05-28 08:40:25-06:00/2017-06-02 00:24:06-06:00/2020-06-03 17:30:21-06:00/2017-05-29 23:12:55-06:00/2017-05-04 16:14:29-06:00/,Added a Travis CI configuration file
Assembly,lanl/qmasm,076d15687fc97b3864650c32a81834303640b11e,2017-02-24T01:46:14Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,"Include failed embeddings in the embedding cache

No use retrying something on future runs that we know is bound to
fail."
Assembly,lanl/qmasm,811e485ea39a333f382e126dbd8083482620c303,2016-08-18T17:38:11Z,33061dfc20f9cffb0d1e05ed904fb2cfcecd6bc8/,2017-03-25 00:00:41-06:00/,"Delay complaining about no solutions being found

Output as much diagnostic information as we can before aborting."
Assembly,lanl/qmasm,fa3b23a63d8017abe4625f9b5e451a6f04621e26,2019-12-24T01:08:29Z,5e6379cb72d249a86c71049b0648f17f771cdd16/c1197af6140efbee621aaab43c3b09ff0988d658/c9c65e79db99460526e50e5350144ebfabb73c43/,2020-03-11 16:04:53-06:00/2020-07-01 17:12:25-06:00/2019-12-23 18:49:15-07:00/,Honor the --topology-file command-line option
Assembly,lanl/qmasm,a30eeba8024a7c0663f1b6364aea5786a144955a,2019-12-23T21:49:10Z,39eb40836f255d18a205c69c3ef5b5dc40d8e998/,2020-06-09 18:25:05-06:00/,"Convert user-specified chains, anti-chains, and pins to assertions"
Assembly,lanl/qmasm,b7e7a707b84a72ec622b7fd6c58a5d9237beef8a,2016-10-26T22:56:24Z,e47c19dba70b88cec54276cd1c4a325d42fb7714/d2a8853c30afa37214559fa9d2603ced237184bb/062f963dded85b2f40eb0bad6f10829d03baf16c/b64bb9384e62da2be1dd929b3b2414e1b509a0a0/9b09d248c66c6b75c39eba2a534dc9a5e743a726/661a507062f4b0a024755259438e85bff51acaf8/a59280e93d1442add5a48b2ebfb4b13de6d34843/d46b0e2204d2114a2cb054f62f88764c85eef12a/c841e1b116a3576df8fce07412c0f5b31ccd8af7/c96e3eb69a35212b0a894bd427a7490ea274d5a2/35cbdbcf59a6dcf75e0f28f09320d2e7ab02503c/b8ecbd653983237498f08a44fa4e718b1859655a/5e2a718999e0a66d4bf338a8525b32ab5ff1d9a9/e55bc405a3f90b35c5a44b5ae945686a04f2f866/fb82c362f10c319d952c00fadb21341e3ba8a367/3df14bc70e791f86aea778a54d1c9893ec51c5ec/f21cc157a6994e7ab172bc30de12038ca808fcce/b9a8669fbd48f2fa507d700246b350094be0578b/8c395558f2829d29d2785b0a85c1c467f0a894d9/433720570fe34d49f9e656e37f60ca9d40860e8e/6c93bd8a90db0cb8091113681fd473d049ba86c7/6900401ad01e4474d2db7a9bdc9a6955f31cdc3f/3c767be11f0f04be7f097d520d9a770a047b3cd9/c589beb2cb232d4927bf457f6f0aca377dfdded7/cd49d2469e7dc74af47fe890e10f0860ece672c5/558a42375059f6d49df083ea04d12f5c0985179e/a9b829f53dfe57dc0c3ee6d32588b684d74aedc5/5bcb3cbf827a3fd90c7dd2698518b64f1a66a8bd/1326f5f92b772152ab4b8f7093e8ccd48d496cdd/1994378b8589ba353f30ad25c6008fab8f573d45/bb9fa86838726ff018c541884988c96b2dfe6892/,2016-12-14 00:21:40-07:00/2017-01-24 13:25:13-07:00/2019-02-24 00:08:23-07:00/2016-11-03 09:26:28-04:00/2018-04-23 00:21:06-06:00/2017-05-25 18:17:36-06:00/2019-01-12 17:58:51-07:00/2017-01-31 19:28:22-05:00/2017-02-03 01:24:10-05:00/2016-12-15 17:34:17-07:00/2016-11-17 00:28:39-07:00/2019-01-21 00:55:07-07:00/2020-06-02 14:48:26-06:00/2020-06-03 14:20:44-06:00/2017-08-31 13:44:52-04:00/2017-05-04 16:14:29-06:00/2016-11-03 09:48:20-04:00/2017-05-28 00:03:07-06:00/2017-01-25 18:56:21-07:00/2017-07-02 18:39:35-06:00/2019-05-10 16:53:53-06:00/2020-06-02 14:33:00-06:00/2017-01-25 18:46:42-07:00/2016-10-26 18:27:45-06:00/2016-11-02 20:34:01-04:00/2016-10-26 17:09:47-06:00/2017-08-22 13:31:35-06:00/2018-05-21 01:07:03-06:00/2019-01-12 17:54:35-07:00/2018-03-14 16:48:14-06:00/2017-05-29 23:12:55-06:00/,"Global change of ""QASM"" to ""QMASM""

QMASM is far more unique of a name than QMASM."
Assembly,lanl/qmasm,f6aac7ca9b999660cf41f554f039201add21a347,2019-01-20T06:25:03Z,71a0406842266177ee0b5de9f091f00ce488bbf4/1dc06566d14f1110c4b59cd17169274f8583151f/e55bc405a3f90b35c5a44b5ae945686a04f2f866/73695257c7b4be21c22ed94405a0bf8301877008/,2019-01-20 12:56:07-07:00/2019-01-27 17:14:26-07:00/2020-06-03 14:20:44-06:00/2019-01-21 00:36:06-07:00/,"Support an !if ... !else ... !end_if construct

Caveat: Each of these directives must appear in the same file.  It is
not currently allowed to have the !if in one file and !include a file
containing the !end_if, for example."
Assembly,lanl/qmasm,e25f9b1aead2621080ece418384fa28c35372f4c,2019-01-28T06:07:08Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,Issue an error message for each use of !alias
Assembly,lanl/qmasm,242cd540fa8d0bce0ba77e2c9582682dc5990d38,2017-01-25T21:55:08Z,d1a39fd7bbe7a4b6e579c0b7637c5f9c2e120ab7/661b8b56f1c47d171d557781438d6963b9176fa8/734c4a4b6675b523c99d898595b112898f146500/8c395558f2829d29d2785b0a85c1c467f0a894d9/32819ea0943992bbc87ca842c0d8762e1324a145/3c767be11f0f04be7f097d520d9a770a047b3cd9/e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2017-01-26 18:56:44-07:00/2019-01-27 23:44:45-07:00/2019-01-10 23:29:26-07:00/2017-01-25 18:56:21-07:00/2017-01-27 16:34:52-07:00/2017-01-25 18:46:42-07:00/2020-06-03 14:20:44-06:00/,"Revert ""Support for !begin_replace_sym...!end_replace_sym""

This reverts commit d2a8853c30afa37214559fa9d2603ced237184bb.

My plan is to try a completely different approach to support chaining
together macro instantiations."
Assembly,lanl/qmasm,579982269b875adfe8987fc2089f699fd526ba49,2016-12-14T08:04:45Z,d713dab380bc7d8ca14bf9db4172670b0f32c589/,2017-05-17 11:08:02-06:00/,Corrected a typo in the --help message
Assembly,lanl/qmasm,d1f1f7d382c2da418e3a88f29cdc5f1c7e5b3724,2016-07-08T16:46:18Z,b7e7a707b84a72ec622b7fd6c58a5d9237beef8a/f54e91d8eec83b6fe33fc1717d21d93e20612dca/4bbf247a59b31bf1e225733bcefdd2a3fe131f9f/e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2016-10-26 16:56:24-06:00/2016-08-18 10:33:36-06:00/2016-10-19 16:52:53-06:00/2020-06-03 14:20:44-06:00/,:bug: Correctly scope abend and progname
Assembly,lanl/qmasm,34996cb3bfec9dec0414dce973d820c60af5eb64,2020-05-29T20:54:52Z,6b0527c8a1a601c5af5f4832bad932b5957fb524/,2020-05-29 15:27:58-06:00/,Add support for --values=ints
Assembly,lanl/qmasm,41f5348bb1c9782f334906026f4af48d7574779d,2017-05-31T06:19:08Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,"Made various improvements to MiniZinc code generation

* The Chuffed solver is used for both passes, not MIP on the first pass.
* The output file is written after the second pass instead of the first pass.
* The generated MiniZinc file shows correctly scaled output on both passes.
* Duplicated code has been removed."
Assembly,lanl/qmasm,fa910926a75a54cadae952f34f386fbb3e3ebeda,2016-12-14T07:44:24Z,6b00f179bee4bb3fa3cf635d50b45942250a7504/579982269b875adfe8987fc2089f699fd526ba49/433720570fe34d49f9e656e37f60ca9d40860e8e/db63fd9c239c3534c70ec29546ee76290fff8271/9b09d248c66c6b75c39eba2a534dc9a5e743a726/da23f0fea9ed87eaebd318916f2fe7cc969f77d0/03821361d95dad2ca4fec6d87dbc945e5ec2723d/bb9fa86838726ff018c541884988c96b2dfe6892/e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2016-12-21 17:54:27-07:00/2016-12-14 01:04:45-07:00/2017-07-02 18:39:35-06:00/2017-05-05 17:50:25-06:00/2018-04-23 00:21:06-06:00/2017-05-28 23:13:25-06:00/2017-03-17 16:28:09-06:00/2017-05-29 23:12:55-06:00/2020-06-03 14:20:44-06:00/,Specify the postprocessing step with --postproc
Assembly,lanl/qmasm,ceaf61b04af797150e5ec1cbfd04cad0fd0a5137,2017-02-16T16:18:39Z,7e12df862f87a3329168acbd145b73d4740e712a/,2018-05-09 00:24:11-06:00/,Added a link to IBM's QASM GitHub project
Assembly,lanl/qmasm,c841e1b116a3576df8fce07412c0f5b31ccd8af7,2017-02-03T06:24:10Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/8ef63814275e32edc7d563615f79bb72e0d5daa7/,2020-06-03 14:20:44-06:00/2018-05-09 00:25:37-06:00/,Replace github.com/losalamos with github.com/lanl
Assembly,lanl/qmasm,3bb3de98e519a547abbb3b05aaafaa9fec01562d,2020-06-12T18:09:09Z,c1197af6140efbee621aaab43c3b09ff0988d658/,2020-07-01 17:12:25-06:00/,Clean up a small bit of code
Assembly,lanl/qmasm,6a38716fe0cc8646c37c3d9bc1454a22e75419a8,2016-10-28T19:23:11Z,03821361d95dad2ca4fec6d87dbc945e5ec2723d/9bb58a3d91a0467a5931d884b31b9dc30204eb18/9b09d248c66c6b75c39eba2a534dc9a5e743a726/,2017-03-17 16:28:09-06:00/2017-03-20 14:43:45-06:00/2018-04-23 00:21:06-06:00/,Discard solutions with broken chains and broken pins
Assembly,lanl/qmasm,049afffdf6ffd812a4c4305658f7e2baff9030ed,2016-07-01T17:19:43Z,eacb7728db6652f58fa716e22d157e1ad29b6d86/c896937b74bac51f1508b3d693c4e333de375267/32a848d45ffc1ef285939304f842a402824bde47/831fe9525797795fb251f165a6bf462c1472aeb9/d48954b90d71ce0a388b4561d4466c76a95d5111/cef680b1fa9b1927addebf7dfc38581af4eb1dae/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a/,2016-07-08 10:33:42-06:00/2016-08-16 23:40:11-06:00/2016-07-05 16:04:36-06:00/2016-08-17 00:37:09-06:00/2016-07-08 14:44:23-06:00/2016-07-01 18:34:50-06:00/2016-10-26 16:56:24-06:00/,Moved chain- and pin-strength functions into their own file
Assembly,lanl/qmasm,35afe96531c77cb983c883363aaefd157f8919e9,2016-08-22T22:12:41Z,8adf5ff5109a0ada4d4ffac694edce24efc2a66a/,2019-01-28 14:13:31-07:00/,Added a MANIFEST.in file for use by Python setuptools
Assembly,lanl/qmasm,7ba08671fd439cdd2d1028a2ffe1dbb644bc99ee,2016-06-16T00:07:38Z,29a7bf57de9332a8f8fa1df335ac2ae527313306/b7e7a707b84a72ec622b7fd6c58a5d9237beef8a/21109e46382da828d8453c916b2127ec476daea9/558a42375059f6d49df083ea04d12f5c0985179e/,2016-06-27 15:37:30-06:00/2016-10-26 16:56:24-06:00/2020-06-03 18:27:06-06:00/2016-10-26 17:09:47-06:00/,Setuptools-based installer
Assembly,lanl/qmasm,d7c3d05839e17144c8b250fc46eb22ef43000e12,2018-11-02T21:11:58Z,e55bc405a3f90b35c5a44b5ae945686a04f2f866/,2020-06-03 14:20:44-06:00/,":bug: Fix incorrect handling of QUBO problems and their resulting energy

Programs run with `--qubo` were being incorrectly converted to Ising
problems (QMASM's native problem format) when all of the linear
coefficients in the generated Ising formulation are supposed to be 0.

The reported energy values (for both QUBO and Ising problems, I
believe) were also incorrect due to the problem coefficients being
scaled for D-Wave execution but the energy not being un-scaled back
into the terms of the original problem.

Thanks to Tom Krauss (@twist-vector) for the bug report and for
testing the updated code."
