Tags,Cryptography,Experimentation,Quantum Annealing,Full-stack Library,ToolKit,Quantum-Chemistry,Compiler,Assembly,None-Quantum,Quantum Algorithsm,Web-Extension,Fun/ Game,Simulator,severity,type
suspicious,1.2832070353182314e-07,1.3975200219140155e-07,7.211300258490226e-08,4.6641646256758724e-07,1.3917500837437276e-07,6.52423295403298e-08,4.1788479101954046e-07,1.3646729911828355e-07,3.6013648870900105e-07,6.274040732266966e-08,6.692746847382319e-07,2.9907718032060143e-07,2.0738852719499986e-07,CRITICAL/BLOCKER/MAJOR/MINOR/,CODE_SMELL/BUG/
brain_overload,3.6870159166225177e-07,3.4560086938398153e-07,4.149687380344251e-07,2.760864848049516e-07,3.082005277530318e-07,4.101094069061e-07,5.940267669082178e-07,5.768672478524649e-07,2.2980758322107196e-07,4.5330969743464727e-07,4.4083775104358295e-08,5.241174869478005e-07,1.1853612554213022e-07,CRITICAL/MAJOR/,CODE_SMELL/
confusing,1.49996381608907e-07,1.524712907434499e-07,6.266957044987015e-08,5.720399067243807e-07,3.8079405285790334e-07,8.937115734935649e-08,5.20667209550212e-07,2.038103076242778e-07,1.8817213431879785e-07,5.731113835101206e-08,6.243574652643345e-07,6.979837318620792e-07,1.9358328347129997e-07,CRITICAL/BLOCKER/MAJOR/MINOR/,CODE_SMELL/BUG/
xxxxx,7.241838592742751e-09,1.3560253509871926e-06,1.0584380936895571e-06,1.390583190645165e-07,1.0972364380037733e-07,8.46961860709228e-08,1.5167746175591554e-07,4.856528558217318e-07,1.8477851300575188e-07,4.5251298083286466e-07,1.0630595818185264e-05,8.682920595675711e-06,7.689612301127819e-08,CRITICAL/BLOCKER/MAJOR/MINOR/,VULNERABILITY/CODE_SMELL/BUG/
based_on_misra,7.821185680162171e-09,1.4582465704028038e-07,1.6474985744769603e-08,4.086611125772832e-08,3.9666574516273335e-08,5.5152783200729806e-08,8.206709947838782e-09,3.1628184772942144e-08,1.4905314657699737e-07,3.118649880409133e-08,8.858115582235376e-10,9.823983140392716e-10,2.296758783254752e-09,CRITICAL/BLOCKER/,CODE_SMELL/BUG/
accessibility,3.3565271667381897e-07,9.733953980600072e-08,6.744524511021973e-08,1.9395671118102069e-07,1.3931700762590232e-07,1.737956816476965e-07,1.767661439320828e-08,3.0523123279523954e-07,2.4462593291211705e-07,5.2926473400586645e-08,1.1057561087569403e-06,7.540170946501066e-06,1.7413736499917062e-07,MAJOR/MINOR/,CODE_SMELL/BUG/
clumsy,7.705316262678287e-08,5.571447346202142e-08,3.972440318352451e-08,9.957845470449424e-08,9.86974626446381e-08,8.28459550026399e-08,9.269571785067068e-08,8.164338080293441e-08,1.0089926112065422e-07,8.16337787224091e-08,1.8251070182301625e-08,1.2994131470925043e-07,1.8608101595787893e-08,MAJOR/MINOR/,CODE_SMELL/
html5,0.0,3.8654722278413896e-07,1.6210523824737023e-07,8.089971088300045e-09,2.3958008070330475e-07,3.609986556701194e-08,0.0,1.7886799986759002e-07,1.4307873832059835e-07,6.056344349767033e-08,9.178639765304468e-08,1.4287819594063525e-06,2.8233603317275823e-07,MAJOR/,CODE_SMELL/BUG/
redundant,3.5774682648149187e-08,1.0740536746250822e-08,1.5101208416715928e-08,8.769671465547373e-09,3.7434102158471026e-08,1.1148898409981787e-08,4.854963265863759e-08,3.994650641749309e-08,1.0600761882349867e-08,4.150593253465775e-09,2.1836009339100724e-09,3.8424700530018185e-09,2.9627184640372635e-09,MAJOR/MINOR/,CODE_SMELL/
finding,0.0,1.4126789549405323e-09,7.888911503768533e-10,8.011828269836057e-09,2.6006993346532913e-09,1.5872102382899875e-08,0.0,0.0,2.4795465306675615e-09,1.586933656674736e-09,0.0,0.0,3.875770482408847e-09,MINOR/,CODE_SMELL/
es2015,0.0,0.0,0.0,1.9445822072905965e-10,0.0,0.0,0.0,0.0,1.4735412552033187e-09,0.0,6.734571899997114e-09,0.0,2.8619644919026142e-08,MAJOR/MINOR/,CODE_SMELL/BUG/
cwe,1.8269577535460954e-07,3.4169917510741296e-07,8.839108945027147e-08,1.747189371569369e-07,2.3567254085598253e-07,1.6668183591555116e-07,2.083643962364629e-07,1.9245384252804105e-07,2.890075147578781e-07,1.5593283377423489e-07,1.2096083151197765e-07,1.5184509308691007e-07,2.9443606712024305e-08,INFO/CRITICAL/MAJOR/BLOCKER/,VULNERABILITY/CODE_SMELL/BUG/
design,3.118180661305725e-07,2.2686163006106818e-07,1.6440483772745732e-07,3.1093326309783344e-07,6.001863186742271e-07,5.632607629573734e-07,7.423012581382067e-08,1.8679178469669403e-07,5.065256987419238e-07,4.51647987153241e-07,3.075195813746612e-07,3.14273696843448e-07,3.178457988072737e-07,CRITICAL/MAJOR/,CODE_SMELL/
api_design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7139318457697207e-09,MAJOR/,BUG/
psr2,0.0,0.0,0.0,1.9445822072905965e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.734571899997114e-09,0.0,0.0,MAJOR/,CODE_SMELL/
pishing,0.0,0.0,0.0,1.661173718902828e-09,0.0,0.0,0.0,0.0,1.3237813547977734e-08,0.0,6.869026011433912e-08,8.868888461737409e-06,0.0,BLOCKER/,VULNERABILITY/
lock_in,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.947206924086619e-11,0.0,0.0,0.0,0.0,BLOCKER/,CODE_SMELL/
convention,2.3384319460816675e-06,7.453650775953663e-06,2.4514746492851244e-06,9.372098070535187e-07,1.2931589370214598e-06,9.67213543565757e-07,2.3284958983732589e-07,2.693564129235269e-06,6.331611666033696e-07,1.3379197508056897e-06,1.5271562148370693e-07,7.14643354292496e-06,2.2306555205817288e-06,CRITICAL/MAJOR/BLOCKER/MINOR/,CODE_SMELL/BUG/
